customer_id,city,pincode,gender,age,registration_date,has_rx_upload,has_subscription,preferred_store,loyalty_tier
C-000001,Mumbai,400069,F,18,2024-03-17,False,False,WF-012,Silver
C-000002,Pune,411038,F,37,2025-05-10,False,False,WF-017,Silver
C-000003,Thane,400601,M,19,2023-08-20,False,False,WF-021,Gold
C-000004,Navi Mumbai,400706,M,45,2024-10-26,False,False,WF-023,Bronze
C-000005,Mumbai,400050,F,48,2024-10-11,False,False,WF-011,Gold
C-000006,Pune,411014,F,45,2025-08-29,False,False,WF-015,Bronze
C-000007,Mumbai,400001,F,41,2024-01-08,False,False,WF-010,Bronze
C-000008,Bengaluru,560034,Other,41,2025-04-11,False,False,WF-029,Bronze
C-000009,Mumbai,400092,F,44,2024-09-26,False,False,WF-011,Gold
C-000010,Mumbai,400069,M,27,2025-12-30,False,False,WF-008,Bronze
C-000011,Bengaluru,560001,F,35,2025-12-27,False,False,WF-029,Silver
C-000012,Goa,403001,M,54,2025-06-29,False,False,WF-028,Bronze
C-000013,Mumbai,400001,F,30,2025-12-23,False,False,WF-008,Silver
C-000014,Thane,400602,F,51,2025-02-07,False,False,WF-022,Silver
C-000015,Goa,403001,F,21,2024-02-09,True,False,WF-028,Silver
C-000016,Navi Mumbai,400703,F,44,2024-01-28,True,False,WF-025,Bronze
C-000017,Bengaluru,560001,M,21,2023-05-05,False,False,WF-030,Bronze
C-000018,Bengaluru,560001,F,42,2023-07-06,False,False,WF-029,Bronze
C-000019,Goa,403001,M,18,2024-10-23,False,False,WF-028,Gold
C-000020,Mumbai,400053,F,33,2024-02-06,False,False,WF-012,Bronze
C-000021,Mumbai,400058,M,35,2026-04-28,False,False,WF-006,Gold
C-000022,Thane,400601,M,25,2024-01-27,False,False,WF-022,Bronze
C-000023,Mumbai,400092,M,43,2023-10-09,True,False,WF-001,Silver
C-000024,Mumbai,400050,M,18,2024-11-27,False,False,WF-009,Bronze
C-000025,Thane,400602,M,18,2023-06-06,False,False,WF-020,Silver
