store_id,product_id,snapshot_date,stock_on_hand,reorder_point,is_out_of_stock,days_out_of_stock
WF-001,P-00001,2026-02-05,40,17,False,0
WF-001,P-00002,2026-02-05,89,15,False,0
WF-001,P-00003,2026-02-05,64,13,False,0
WF-001,P-00004,2026-02-05,124,23,False,0
WF-001,P-00005,2026-02-05,0,13,True,6
WF-001,P-00006,2026-02-05,6,14,False,0
WF-001,P-00007,2026-02-05,0,26,True,12
WF-001,P-00008,2026-02-05,65,17,False,0
WF-001,P-00009,2026-02-05,82,20,False,0
WF-001,P-00010,2026-02-05,38,17,False,0
WF-001,P-00011,2026-02-05,6,28,False,0
WF-001,P-00012,2026-02-05,105,17,False,0
WF-001,P-00013,2026-02-05,65,28,False,0
WF-001,P-00014,2026-02-05,15,10,False,0
WF-001,P-00015,2026-02-05,33,24,False,0
WF-001,P-00016,2026-02-05,43,15,False,0
WF-001,P-00017,2026-02-05,42,29,False,0
WF-001,P-00018,2026-02-05,52,14,False,0
WF-001,P-00019,2026-02-05,16,18,False,0
WF-001,P-00020,2026-02-05,14,14,False,0
WF-001,P-00021,2026-02-05,45,18,False,0
WF-001,P-00022,2026-02-05,0,23,True,6
WF-001,P-00023,2026-02-05,1,26,False,0
WF-001,P-00024,2026-02-05,17,25,False,0
WF-001,P-00025,2026-02-05,7,20,False,0
WF-001,P-00026,2026-02-05,30,20,False,0
WF-001,P-00027,2026-02-05,68,15,False,0
WF-001,P-00028,2026-02-05,29,13,False,0
WF-001,P-00029,2026-02-05,63,23,False,0
WF-001,P-00030,2026-02-05,40,13,False,0
WF-001,P-00031,2026-02-05,4,23,False,0
WF-001,P-00032,2026-02-05,27,14,False,0
WF-001,P-00033,2026-02-05,40,26,False,0
WF-001,P-00034,2026-02-05,19,28,False,0
WF-001,P-00035,2026-02-05,51,19,False,0
WF-001,P-00036,2026-02-05,28,13,False,0
WF-001,P-00037,2026-02-05,7,22,False,0
WF-001,P-00038,2026-02-05,3,12,False,0
WF-001,P-00039,2026-02-05,20,12,False,0
WF-001,P-00040,2026-02-05,48,25,False,0
WF-001,P-00041,2026-02-05,48,11,False,0
WF-001,P-00042,2026-02-05,88,13,False,0
WF-001,P-00043,2026-02-05,131,27,False,0
WF-001,P-00044,2026-02-05,21,24,False,0
WF-001,P-00045,2026-02-05,9,10,False,0
WF-001,P-00046,2026-02-05,19,18,False,0
WF-001,P-00047,2026-02-05,22,21,False,0
WF-001,P-00048,2026-02-05,5,20,False,0
WF-001,P-00049,2026-02-05,55,20,False,0
WF-001,P-00050,2026-02-05,24,16,False,0
WF-001,P-00051,2026-02-05,8,10,False,0
WF-001,P-00052,2026-02-05,10,15,False,0
WF-001,P-00053,2026-02-05,29,28,False,0
WF-001,P-00054,2026-02-05,0,17,True,10
WF-001,P-00055,2026-02-05,16,13,False,0
WF-001,P-00056,2026-02-05,46,22,False,0
WF-001,P-00057,2026-02-05,1,16,False,0
WF-001,P-00058,2026-02-05,14,12,False,0
WF-001,P-00059,2026-02-05,71,10,False,0
WF-001,P-00060,2026-02-05,5,12,False,0
WF-001,P-00061,2026-02-05,26,22,False,0
WF-001,P-00062,2026-02-05,91,19,False,0
WF-001,P-00063,2026-02-05,33,23,False,0
WF-001,P-00064,2026-02-05,60,29,False,0
WF-001,P-00065,2026-02-05,24,13,False,0
WF-001,P-00066,2026-02-05,0,18,True,8
WF-001,P-00067,2026-02-05,0,19,True,2
WF-001,P-00068,2026-02-05,103,24,False,0
WF-001,P-00069,2026-02-05,28,10,False,0
WF-001,P-00070,2026-02-05,60,25,False,0
WF-001,P-00071,2026-02-05,10,17,False,0
WF-001,P-00072,2026-02-05,22,23,False,0
WF-001,P-00073,2026-02-05,41,21,False,0
WF-001,P-00074,2026-02-05,17,11,False,0
WF-001,P-00075,2026-02-05,0,24,True,8
WF-001,P-00076,2026-02-05,6,27,False,0
WF-001,P-00077,2026-02-05,32,11,False,0
WF-001,P-00078,2026-02-05,49,15,False,0
WF-001,P-00079,2026-02-05,23,17,False,0
WF-001,P-00080,2026-02-05,15,23,False,0
WF-001,P-00081,2026-02-05,81,14,False,0
WF-001,P-00082,2026-02-05,0,27,True,6
WF-001,P-00083,2026-02-05,0,17,True,13
WF-001,P-00084,2026-02-05,64,19,False,0
WF-001,P-00085,2026-02-05,18,10,False,0
WF-001,P-00086,2026-02-05,10,28,False,0
WF-001,P-00087,2026-02-05,40,19,False,0
WF-001,P-00088,2026-02-05,92,20,False,0
WF-001,P-00089,2026-02-05,22,27,False,0
WF-001,P-00090,2026-02-05,96,21,False,0
WF-001,P-00091,2026-02-05,38,25,False,0
WF-001,P-00092,2026-02-05,100,28,False,0
WF-001,P-00093,2026-02-05,0,21,True,12
WF-001,P-00094,2026-02-05,12,13,False,0
WF-001,P-00095,2026-02-05,136,18,False,0
WF-001,P-00096,2026-02-05,21,26,False,0
WF-001,P-00097,2026-02-05,21,12,False,0
WF-001,P-00098,2026-02-05,4,12,False,0
WF-001,P-00099,2026-02-05,39,19,False,0
WF-001,P-00100,2026-02-05,62,13,False,0
WF-001,P-00101,2026-02-05,57,22,False,0
WF-001,P-00102,2026-02-05,27,10,False,0
WF-001,P-00103,2026-02-05,137,17,False,0
WF-001,P-00104,2026-02-05,0,28,True,2
WF-001,P-00105,2026-02-05,42,23,False,0
WF-001,P-00106,2026-02-05,9,26,False,0
WF-001,P-00107,2026-02-05,62,14,False,0
WF-001,P-00108,2026-02-05,33,22,False,0
WF-001,P-00109,2026-02-05,80,13,False,0
WF-001,P-00110,2026-02-05,14,16,False,0
WF-001,P-00111,2026-02-05,2,13,False,0
WF-001,P-00112,2026-02-05,105,18,False,0
WF-001,P-00113,2026-02-05,2,18,False,0
WF-001,P-00114,2026-02-05,0,10,True,4
WF-001,P-00115,2026-02-05,47,25,False,0
WF-001,P-00116,2026-02-05,17,13,False,0
WF-001,P-00117,2026-02-05,17,13,False,0
WF-001,P-00118,2026-02-05,20,21,False,0
WF-001,P-00119,2026-02-05,77,11,False,0
WF-001,P-00120,2026-02-05,9,13,False,0
WF-001,P-00121,2026-02-05,14,27,False,0
WF-001,P-00122,2026-02-05,18,10,False,0
WF-001,P-00123,2026-02-05,90,17,False,0
WF-001,P-00124,2026-02-05,8,15,False,0
WF-001,P-00125,2026-02-05,1,23,False,0
WF-001,P-00126,2026-02-05,7,15,False,0
WF-001,P-00127,2026-02-05,74,10,False,0
WF-001,P-00128,2026-02-05,0,26,True,11
WF-001,P-00129,2026-02-05,36,23,False,0
WF-001,P-00130,2026-02-05,0,11,True,11
WF-001,P-00131,2026-02-05,58,12,False,0
