line_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total,cost_amount,margin_amount
LI-00000001,ORD-0000001,P-00070,2,4309.74,0.0,8619.48,7056.99,1562.49
LI-00000002,ORD-0000001,P-00019,1,4684.07,0.0,4684.07,3659.86,1024.21
LI-00000003,ORD-0000001,P-00003,2,1321.29,0.0,2642.58,2143.48,499.1
LI-00000004,ORD-0000001,P-00009,1,6797.11,0.0,6797.11,5536.16,1260.95
LI-00000005,ORD-0000001,P-00167,1,4356.37,0.0,4356.37,3558.58,797.79
LI-00000006,ORD-0000001,P-00127,1,2323.26,0.0,2323.26,1813.29,509.97
LI-00000007,ORD-0000002,P-00706,2,6298.71,0.0,12597.42,8451.08,4146.34
LI-00000008,ORD-0000002,P-00654,1,9793.67,10.0,9793.67,6992.55,2801.12
LI-00000009,ORD-0000003,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000010,ORD-0000004,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000011,ORD-0000005,P-00924,1,2343.01,0.0,2343.01,1868.29,474.72
LI-00000012,ORD-0000005,P-00921,1,1335.71,0.0,1335.71,1132.08,203.63
LI-00000013,ORD-0000005,P-00930,1,1718.56,5.0,1718.56,1514.78,203.78
LI-00000014,ORD-0000005,P-00925,1,4003.95,5.0,4003.95,3519.06,484.89
LI-00000015,ORD-0000006,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000016,ORD-0000006,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000017,ORD-0000006,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000018,ORD-0000007,P-00683,1,12029.27,5.0,12029.27,7725.38,4303.89
LI-00000019,ORD-0000007,P-00652,1,6253.99,5.0,6253.99,4123.01,2130.98
LI-00000020,ORD-0000008,P-00003,1,1255.23,5.0,1255.23,1071.74,183.49
LI-00000021,ORD-0000008,P-00041,1,3525.9,5.0,3525.9,3035.43,490.47
LI-00000022,ORD-0000009,P-00522,2,1133.15,0.0,2266.3,1530.44,735.86
LI-00000023,ORD-0000009,P-00610,1,2467.24,10.0,2467.24,1875.41,591.83
LI-00000024,ORD-0000010,P-00652,1,5924.84,10.0,5924.84,4123.01,1801.83
LI-00000025,ORD-0000010,P-00752,2,3136.54,0.0,6273.08,4257.4,2015.68
LI-00000026,ORD-0000011,P-00421,2,2369.18,0.0,4738.36,3211.48,1526.88
LI-00000027,ORD-0000012,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000028,ORD-0000012,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000029,ORD-0000012,P-00802,1,4267.59,8.0,4267.59,2995.56,1272.03
LI-00000030,ORD-0000013,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000031,ORD-0000013,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000032,ORD-0000014,P-00655,1,2487.73,0.0,2487.73,1579.39,908.34
LI-00000033,ORD-0000014,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000034,ORD-0000014,P-00671,1,6752.16,5.0,6752.16,4342.49,2409.67
LI-00000035,ORD-0000014,P-00922,1,1642.23,0.0,1642.23,1361.17,281.06
LI-00000036,ORD-0000015,P-00026,1,4215.75,0.0,4215.75,3448.22,767.53
LI-00000037,ORD-0000015,P-00107,1,4199.2,0.0,4199.2,3298.52,900.68
LI-00000038,ORD-0000015,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000039,ORD-0000016,P-00921,1,1228.86,8.0,1228.86,1132.08,96.78
LI-00000040,ORD-0000016,P-00933,1,848.35,0.0,848.35,700.07,148.28
LI-00000041,ORD-0000016,P-00923,1,1445.18,0.0,1445.18,1144.54,300.64
LI-00000042,ORD-0000016,P-00798,2,7474.04,0.0,14948.08,9553.97,5394.11
LI-00000043,ORD-0000017,P-00063,1,7962.65,0.0,7962.65,6221.1,1741.55
LI-00000044,ORD-0000018,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000045,ORD-0000018,P-00654,1,10881.85,0.0,10881.85,6992.55,3889.3
LI-00000046,ORD-0000019,P-00927,2,1040.59,0.0,2081.18,1733.72,347.46
LI-00000047,ORD-0000019,P-00921,1,1335.71,0.0,1335.71,1132.08,203.63
LI-00000048,ORD-0000020,P-00003,1,1321.29,0.0,1321.29,1071.74,249.55
LI-00000049,ORD-0000020,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000050,ORD-0000020,P-00012,1,4496.46,0.0,4496.46,3533.12,963.34
LI-00000051,ORD-0000020,P-00001,2,4255.71,10.0,8511.42,7672.16,839.26
LI-00000052,ORD-0000020,P-00047,1,8876.5,0.0,8876.5,6942.36,1934.14
LI-00000053,ORD-0000021,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000054,ORD-0000022,P-00253,1,11342.35,8.0,11342.35,9678.75,1663.6
LI-00000055,ORD-0000022,P-00311,1,4491.47,5.0,4491.47,3808.49,682.98
LI-00000056,ORD-0000022,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000057,ORD-0000022,P-00772,1,6833.06,0.0,6833.06,4312.05,2521.01
LI-00000058,ORD-0000022,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000059,ORD-0000023,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000060,ORD-0000023,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000061,ORD-0000023,P-00422,1,2100.73,5.0,2100.73,1581.53,519.2
LI-00000062,ORD-0000023,P-00804,1,9663.26,0.0,9663.26,6129.96,3533.3
LI-00000063,ORD-0000023,P-00034,1,4938.23,5.0,4938.23,4095.96,842.27
LI-00000064,ORD-0000024,P-00802,1,4406.75,5.0,4406.75,2995.56,1411.19
LI-00000065,ORD-0000025,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000066,ORD-0000026,P-00004,2,5627.65,5.0,11255.3,9382.02,1873.28
LI-00000067,ORD-0000026,P-00046,1,9827.38,0.0,9827.38,7780.91,2046.47
LI-00000068,ORD-0000026,P-00006,2,4778.59,0.0,9557.18,7744.42,1812.76
LI-00000069,ORD-0000026,P-00653,1,8431.68,0.0,8431.68,5343.74,3087.94
LI-00000070,ORD-0000026,P-00001,1,4350.28,8.0,4350.28,3836.08,514.2
LI-00000071,ORD-0000026,P-00002,1,2843.86,8.0,2843.86,2495.38,348.48
LI-00000072,ORD-0000027,P-00808,1,5467.98,0.0,5467.98,3766.66,1701.32
LI-00000073,ORD-0000027,P-00801,1,3647.4,0.0,3647.4,2302.61,1344.79
LI-00000074,ORD-0000027,P-00442,1,3362.48,8.0,3362.48,2461.03,901.45
LI-00000075,ORD-0000027,P-00874,1,3497.81,10.0,3497.81,2498.23,999.58
LI-00000076,ORD-0000027,P-00803,1,3536.68,0.0,3536.68,2235.5,1301.18
LI-00000077,ORD-0000028,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000078,ORD-0000028,P-00361,2,7827.56,8.0,15655.12,13564.31,2090.81
LI-00000079,ORD-0000028,P-00024,1,8793.56,0.0,8793.56,6974.4,1819.16
LI-00000080,ORD-0000028,P-00009,1,6797.11,0.0,6797.11,5536.16,1260.95
LI-00000081,ORD-0000028,P-00002,1,3091.15,0.0,3091.15,2495.38,595.77
LI-00000082,ORD-0000029,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000083,ORD-0000030,P-00433,1,2437.18,0.0,2437.18,1640.27,796.91
LI-00000084,ORD-0000031,P-00446,1,4294.07,0.0,4294.07,3085.1,1208.97
LI-00000085,ORD-0000031,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000086,ORD-0000031,P-00568,1,2230.34,0.0,2230.34,1510.51,719.83
LI-00000087,ORD-0000031,P-00495,1,2327.71,0.0,2327.71,1623.0,704.71
LI-00000088,ORD-0000031,P-00012,1,4496.46,0.0,4496.46,3533.12,963.34
LI-00000089,ORD-0000032,P-00921,2,1335.71,0.0,2671.42,2264.16,407.26
LI-00000090,ORD-0000032,P-00921,1,1335.71,0.0,1335.71,1132.08,203.63
LI-00000091,ORD-0000032,P-00927,1,1040.59,0.0,1040.59,866.86,173.73
LI-00000092,ORD-0000033,P-00006,1,4396.3,8.0,4396.3,3872.21,524.09
LI-00000093,ORD-0000033,P-00038,3,4172.32,0.0,12516.96,9989.54,2527.42
LI-00000094,ORD-0000033,P-00004,3,5449.93,8.0,16349.79,14073.04,2276.75
LI-00000095,ORD-0000034,P-00427,1,6275.21,0.0,6275.21,4424.55,1850.66
LI-00000096,ORD-0000034,P-00005,1,3996.28,0.0,3996.28,3221.8,774.48
LI-00000097,ORD-0000034,P-00431,1,2111.08,0.0,2111.08,1506.24,604.84
LI-00000098,ORD-0000035,P-00480,2,2184.07,8.0,4368.14,3087.23,1280.91
LI-00000099,ORD-0000035,P-00435,2,1506.24,0.0,3012.48,2116.78,895.7
LI-00000100,ORD-0000035,P-00447,1,2121.23,0.0,2121.23,1389.65,731.58
LI-00000101,ORD-0000036,P-00924,1,2343.01,0.0,2343.01,1868.29,474.72
LI-00000102,ORD-0000036,P-00421,1,2369.18,0.0,2369.18,1605.74,763.44
LI-00000103,ORD-0000036,P-00921,1,1228.86,8.0,1228.86,1132.08,96.78
LI-00000104,ORD-0000036,P-00926,1,936.28,0.0,936.28,734.96,201.32
LI-00000105,ORD-0000036,P-00651,1,3673.19,5.0,3673.19,2615.18,1058.01
LI-00000106,ORD-0000037,P-00441,1,1585.27,0.0,1585.27,1045.39,539.88
LI-00000107,ORD-0000038,P-00433,2,2315.32,5.0,4630.64,3280.54,1350.1
LI-00000108,ORD-0000038,P-00004,1,5923.84,0.0,5923.84,4691.01,1232.83
LI-00000109,ORD-0000039,P-00818,1,6779.84,0.0,6779.84,4716.29,2063.55
LI-00000110,ORD-0000039,P-00003,2,1321.29,0.0,2642.58,2143.48,499.1
LI-00000111,ORD-0000040,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000112,ORD-0000040,P-00425,1,5206.42,8.0,5206.42,3843.38,1363.04
LI-00000113,ORD-0000040,P-00001,1,4350.28,8.0,4350.28,3836.08,514.2
LI-00000114,ORD-0000041,P-00673,2,2529.24,10.0,5058.48,3445.37,1613.11
LI-00000115,ORD-0000041,P-00652,3,6253.99,5.0,18761.97,12369.04,6392.93
LI-00000116,ORD-0000041,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000117,ORD-0000042,P-00655,1,2487.73,0.0,2487.73,1579.39,908.34
LI-00000118,ORD-0000042,P-00651,1,3866.52,0.0,3866.52,2615.18,1251.34
LI-00000119,ORD-0000042,P-00651,2,3866.52,0.0,7733.04,5230.35,2502.69
LI-00000120,ORD-0000042,P-00928,1,654.71,8.0,654.71,559.1,95.61
LI-00000121,ORD-0000043,P-00388,1,4251.89,0.0,4251.89,3390.37,861.52
LI-00000122,ORD-0000043,P-00031,1,5600.11,10.0,5600.11,4984.36,615.75
LI-00000123,ORD-0000044,P-00441,1,1585.27,0.0,1585.27,1045.39,539.88
LI-00000124,ORD-0000044,P-00469,1,1298.33,0.0,1298.33,899.26,399.07
LI-00000125,ORD-0000044,P-00423,1,4685.08,5.0,4685.08,3327.0,1358.08
LI-00000126,ORD-0000045,P-00672,1,5290.16,0.0,5290.16,3294.78,1995.38
LI-00000127,ORD-0000045,P-00856,1,5299.42,5.0,5299.42,3868.83,1430.59
LI-00000128,ORD-0000045,P-00652,1,6583.15,0.0,6583.15,4123.01,2460.14
LI-00000129,ORD-0000046,P-00037,1,3651.49,0.0,3651.49,2892.5,758.99
LI-00000130,ORD-0000046,P-00034,1,5198.13,0.0,5198.13,4095.96,1102.17
LI-00000131,ORD-0000046,P-00001,1,4728.57,0.0,4728.57,3836.08,892.49
LI-00000132,ORD-0000047,P-00651,2,3557.19,8.0,7114.38,5230.35,1884.03
LI-00000133,ORD-0000047,P-00514,1,2359.39,0.0,2359.39,1594.17,765.22
LI-00000134,ORD-0000047,P-00668,3,5435.94,0.0,16307.82,10446.64,5861.18
LI-00000135,ORD-0000047,P-00654,1,10881.85,0.0,10881.85,6992.55,3889.3
LI-00000136,ORD-0000048,P-00447,1,2015.16,5.0,2015.16,1389.65,625.51
LI-00000137,ORD-0000048,P-00422,1,2211.29,0.0,2211.29,1581.53,629.76
LI-00000138,ORD-0000048,P-00430,1,1879.5,0.0,1879.5,1324.32,555.18
LI-00000139,ORD-0000049,P-00055,1,2534.54,0.0,2534.54,2051.45,483.09
LI-00000140,ORD-0000050,P-00744,1,3410.66,0.0,3410.66,2207.2,1203.46
LI-00000141,ORD-0000050,P-00651,3,3866.52,0.0,11599.56,7845.53,3754.03
LI-00000142,ORD-0000051,P-00001,2,4728.57,0.0,9457.14,7672.16,1784.98
LI-00000143,ORD-0000052,P-00651,1,3673.19,5.0,3673.19,2615.18,1058.01
LI-00000144,ORD-0000052,P-00008,2,5555.02,0.0,11110.04,9012.5,2097.54
LI-00000145,ORD-0000052,P-00685,1,4139.21,0.0,4139.21,2592.04,1547.17
