order_id,order_date,customer_id,store_id,channel,status,payment_mode,delivery_days,is_delayed,cancellation_reason,return_reason
ORD-0000001,2024-05-01 11:43:00,C-002875,WF-022,Online,Delivered,UPI,0,False,,
ORD-0000002,2024-05-01 10:32:00,C-000788,WF-024,Offline,Delivered,Credit Card,0,False,,
ORD-0000003,2024-05-01 10:14:00,C-002885,WF-001,Offline,Delivered,Cash,0,False,,
ORD-0000004,2024-05-01 09:04:00,C-000408,WF-008,Offline,Delivered,UPI,0,False,,
ORD-0000005,2024-05-01 08:03:00,C-000051,WF-015,Offline,Delivered,Cash,0,False,,
ORD-0000006,2024-05-01 10:36:00,C-001805,WF-010,Offline,Cancelled,UPI,0,False,Delivery delay,
ORD-0000007,2024-05-01 14:40:00,C-003295,WF-028,Offline,Delivered,Cash,0,False,,
ORD-0000008,2024-05-01 10:04:00,C-000963,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000009,2024-05-01 08:57:00,C-000060,WF-028,Online,Delivered,UPI,1,False,,
ORD-0000010,2024-05-01 16:37:00,C-002670,WF-025,Offline,Delivered,Debit Card,0,False,,
ORD-0000011,2024-05-01 13:19:00,C-004921,WF-002,Offline,Delivered,Cash,0,False,,
ORD-0000012,2024-05-01 14:41:00,C-004280,WF-009,Offline,Delivered,UPI,0,False,,
ORD-0000013,2024-05-01 11:16:00,C-001840,WF-023,Offline,Delivered,Credit Card,0,False,,
ORD-0000014,2024-05-01 17:04:00,C-003160,WF-012,Offline,Delivered,UPI,0,False,,
ORD-0000015,2024-05-01 12:36:00,C-001894,WF-007,Offline,Delivered,Debit Card,0,False,,
ORD-0000016,2024-05-01 20:15:00,C-001551,WF-002,Offline,Delivered,Credit Card,0,False,,
ORD-0000017,2024-05-01 18:09:00,C-000184,WF-025,Offline,Delivered,Credit Card,0,False,,
ORD-0000018,2024-05-01 12:19:00,C-004223,WF-024,Offline,Delivered,Credit Card,0,False,,
ORD-0000019,2024-05-01 08:14:00,C-004112,WF-028,Offline,Delivered,Debit Card,0,False,,
ORD-0000020,2024-05-01 11:57:00,C-001570,WF-014,Offline,Delivered,UPI,0,False,,
ORD-0000021,2024-05-01 15:50:00,C-003891,WF-030,Offline,Delivered,UPI,0,False,,
ORD-0000022,2024-05-01 17:04:00,C-000145,WF-011,Online,Delivered,Cash,2,False,,
ORD-0000023,2024-05-01 19:40:00,C-004559,WF-023,Offline,Delivered,Cash,0,False,,
ORD-0000024,2024-05-01 08:57:00,C-002487,WF-016,Offline,Delivered,UPI,0,False,,
ORD-0000025,2024-05-01 13:44:00,C-000156,WF-006,Offline,Delivered,UPI,0,False,,
ORD-0000026,2024-05-01 22:52:00,C-001818,WF-025,Offline,Returned,UPI,0,False,,Quality issue
ORD-0000027,2024-05-01 11:55:00,C-001609,WF-009,Offline,Delivered,Credit Card,0,False,,
ORD-0000028,2024-05-01 14:37:00,C-004522,WF-018,Online,Delivered,UPI,1,False,,
ORD-0000029,2024-05-01 20:38:00,C-000289,WF-030,Offline,Delivered,Cash,0,False,,
ORD-0000030,2024-05-01 11:55:00,C-000865,WF-001,Offline,Delivered,Cash,0,False,,
ORD-0000031,2024-05-01 15:32:00,C-002864,WF-014,Offline,Delivered,Credit Card,0,False,,
ORD-0000032,2024-05-01 20:20:00,C-002532,WF-011,Offline,Delivered,Credit Card,0,False,,
ORD-0000033,2024-05-01 12:34:00,C-001442,WF-029,Offline,Delivered,Debit Card,0,False,,
ORD-0000034,2024-05-01 09:49:00,C-002386,WF-004,Offline,Delivered,Credit Card,0,False,,
ORD-0000035,2024-05-01 22:51:00,C-003379,WF-023,Offline,Delivered,Cash,0,False,,
ORD-0000036,2024-05-01 18:11:00,C-004219,WF-007,Online,Delivered,UPI,2,False,,
ORD-0000037,2024-05-01 10:48:00,C-000500,WF-007,Offline,Delivered,Debit Card,0,False,,
ORD-0000038,2024-05-01 14:35:00,C-004881,WF-009,Online,Delivered,Net Banking,2,False,,
ORD-0000039,2024-05-01 11:33:00,C-002871,WF-010,Online,Delivered,Credit Card,1,False,,
ORD-0000040,2024-05-01 14:33:00,C-001760,WF-021,Online,Delivered,Net Banking,1,False,,
ORD-0000041,2024-05-01 11:15:00,C-001817,WF-009,Offline,Returned,UPI,0,False,,Allergic reaction
ORD-0000042,2024-05-01 11:35:00,C-004498,WF-006,Online,Delivered,UPI,1,False,,
ORD-0000043,2024-05-01 14:19:00,C-004727,WF-024,Offline,Delivered,Credit Card,0,False,,
ORD-0000044,2024-05-01 13:16:00,C-001264,WF-015,Offline,Delivered,UPI,0,False,,
ORD-0000045,2024-05-01 17:11:00,C-002307,WF-002,Offline,Delivered,Debit Card,0,False,,
ORD-0000046,2024-05-01 14:18:00,C-003121,WF-006,Offline,Delivered,UPI,0,False,,
ORD-0000047,2024-05-01 17:04:00,C-002976,WF-025,Offline,Delivered,Cash,0,False,,
