product_id,product_name,brand,category,sub_type,therapeutic_area,is_generic,mrp,cost_price,margin_pct,requires_prescription,is_scheduled
P-00001,Sun Pharma Gel 349,Sun Pharma,Rx Medicines,Gel,Neurological,False,265.65,215.51,18.9,True,False
P-00002,Generic Ipca Gel 234,Ipca,Rx Medicines,Gel,Neurological,True,173.66,140.19,19.3,True,False
P-00003,Generic Biocon Powder 828,Biocon,Rx Medicines,Powder,Cardiac,True,74.23,60.21,18.9,True,False
P-00004,Generic Aurobindo Drops 122,Aurobindo,Rx Medicines,Drops,Dermatological,True,332.8,263.54,20.8,True,True
P-00005,Abbott India Inhaler 394,Abbott India,Rx Medicines,Inhaler,Anti-diabetic,False,224.51,181.0,19.4,True,False
P-00006,Sun Pharma Ointment 845,Sun Pharma,Rx Medicines,Ointment,Cardiac,False,268.46,217.54,19.0,True,True
P-00007,Intas Drops 153,Intas,Rx Medicines,Drops,Anti-inflammatory,False,273.72,215.51,21.3,True,False
P-00008,Torrent Pharma Syrup 355,Torrent Pharma,Rx Medicines,Syrup,Hormonal,False,312.08,253.16,18.9,True,False
P-00009,Mankind Injection 997,Mankind,Rx Medicines,Injection,Dermatological,False,381.86,311.02,18.6,True,False
P-00010,Macleods Inhaler 773,Macleods,Rx Medicines,Inhaler,Musculoskeletal,False,258.35,209.18,19.0,True,True
P-00011,Hetero Powder 46,Hetero,Rx Medicines,Powder,Anti-diabetic,False,238.07,186.67,21.6,True,False
P-00012,Generic Glenmark Powder 63,Glenmark,Rx Medicines,Powder,Antibiotic,True,252.61,198.49,21.4,True,False
P-00013,Generic Ipca Tablet 482,Ipca,Rx Medicines,Tablet,Cardiac,True,429.14,345.5,19.5,True,False
P-00014,Macleods Capsule 690,Macleods,Rx Medicines,Capsule,Antibiotic,False,684.77,543.65,20.6,True,True
P-00015,Lupin Tablet 649,Lupin,Rx Medicines,Tablet,Anti-inflammatory,False,548.05,433.6,20.9,True,False
